"rinok";"role_definition";"role_table"
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_GKFO_Soprovod_r_1;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_GKFO_Soprovod_r_1
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_GKFO_Soprovod_r_1_SvedAudZakl;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_GKFO_Soprovod_r_1_SvedAudZakl
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_GKFO_Soprovod_r_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_GKFO_Soprovod_r_2
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_3;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_3
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_5;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_5
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_6;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_6
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_7;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_7
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_7_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_7_2
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_8;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_8
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_8_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_8_2
nfo;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_soprovod;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_soprovod
purcb;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_8_hc1;http://www.cbr.ru/xbrl/nso/nfo/rep/2025-11-30/tab/sr_nfo_8
