"rinok";"role_definition";"role_table"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_a";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_a"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_b";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_b"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_c";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_c"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_d";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_d"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_e";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_e"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_f";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/0_FR_ORGINFO_f"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420810";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420810"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420810_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420810_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420842";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420842"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420842_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420842_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420901";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420901"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420901_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420901_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420910";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420910"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420910_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_0420910_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_INS";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_INS"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_INS_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_INS_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_JTINS";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_JTINS"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_JTINS_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_JTINS_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_NPF";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_NPF"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_NPF_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_NPF_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_OPER_KO";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_OPER_KO"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_OPER_KO_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_OPER_KO_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_OPER_NKO";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_OPER_NKO"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_OPER_NKO_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_OPER_NKO_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_PURCB";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_PURCB"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_PURCB_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/1_FR_BS_PURCB_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420812";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420812"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420812_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420812_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420843";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420843"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420843_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420843_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420902";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420902"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420902_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420902_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420912";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420912"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420912_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_0420912_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_INS";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_INS"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_INS_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_INS_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_JTINS";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_JTINS"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_JTINS_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_JTINS_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_NPF";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_NPF"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_NPF_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_NPF_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_OPER";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_OPER"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_OPER_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_OPER_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_PURCB";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_PURCB"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_PURCB_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/2_FR_PL_PURCB_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/3_FR_SOCIE_0420813";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/3_FR_SOCIE_0420813"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/3_FR_SOCIE_0420813/1";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/3_FR_SOCIE_0420813"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/3_FR_SOCIE_0420813_Rasshifr";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/3_FR_SOCIE_0420813_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/3_FR_SOCIE_0420813_Rasshifr/1";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/3_FR_SOCIE_0420813_Rasshifr"
"bfo";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/3_FR_SOCIE_0420844";"http://www.cbr.ru/xbrl/bfo/rep/2024-12-30/tab/3_FR_SOCIE_0420844"
