"rinok","role_definition","role_table"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/sr_zablok_czb_1_2","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/sr_zablok_czb_1_1"
"purcb","http://www.cbr.ru/xbrl/nso/nfo/rep/2025-01-15/tab/sr_soprovod","http://www.cbr.ru/xbrl/nso/nfo/rep/2025-01-15/tab/sr_soprovod"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/kontragenty_1","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/kontragenty_1"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/sr_info/sr_info","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/sr_info/sr_info"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/sr_sved_o_czb_R1_1","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/sr_sved_o_czb_R1_1"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/sr_sved_obotchorg_otvlicza/sr_sved_obotchorg_otvlicza","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/sr_sved_obotchorg_otvlicza/sr_sved_obotchorg_otvlicza"
"purcb","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/sr_zablok_czb_1_1","http://www.cbr.ru/xbrl/nso/purcb/rep/2025-01-15/tab/sr_zablok_czb_1_1"
