"rinok";"role_definition";"role_table"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R1";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R1"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R10";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R10"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R11";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R11"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R2";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R2"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R3";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R3"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R4";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R4"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R5";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R5"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R6";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R6"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R7";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R7"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R8";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R8"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R9";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_R9"
"purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_sved_purcb";"http://www.cbr.ru/xbrl/nso/purcb/rep/2025-07-04/tab/sr_sved_purcb"
