v_id;role
DTL$RNCO_NSO_PURCB_0420409_2_FCT;SR_0420409_m_2,SR_0420409_q_2
DTL$RNCO_NSO_PURCB_0420410_0_FCT;SR_0420410_m_oboroty_credit,SR_0420410_m_oboroty_credit_2,SR_0420410_m_oboroty_debet,SR_0420410_m_oboroty_debet_2,SR_0420410_m_ostatki,SR_0420410_m_ostatki_2,SR_0420410_q_oboroty_credit,SR_0420410_q_oboroty_credit_2,SR_0420410_q_oboroty_debet,SR_0420410_q_oboroty_debet_2,SR_0420410_q_ostatki,SR_0420410_q_ostatki_2
DTL$RNCO_NSO_PURCB_0420410_DOP_FCT;SR_0420410_m_dop_inf,SR_0420410_m_dop_inf_2,SR_0420410_q_dop_inf,SR_0420410_q_dop_inf_2
DTL$RNCO_NSO_PURCB_0420410_SPOD_0_FCT;SR_0420410_SPOD_oboroty_credit,SR_0420410_SPOD_oboroty_credit_1,SR_0420410_SPOD_oboroty_debet,SR_0420410_SPOD_oboroty_debet_1
DTL$RNCO_NSO_PURCB_0420410_SPOD_DOP_FCT;SR_0420410_SPOD_dop_inf,SR_0420410_SPOD_dop_inf_2
DTL$RNCO_NSO_PURCB_0420410_SPOD_T5_FCT;SR_0420410_SPOD_1,SR_0420410_SPOD_2
DTL$RNCO_NSO_PURCB_0420410_T5_FCT;SR_0420410_m_1,SR_0420410_m_2,SR_0420410_q_1,SR_0420410_q_2
DTL$RNCO_NSO_PURCB_0420410_ZAPR_T5_FCT;SR_0420410_zapr_1,SR_0420410_zapr_2
DTL$RNCO_NSO_PURCB_0420411_0_FCT;SR_0420411,SR_0420411_2
DTL$RNCO_NSO_PURCB_0420411_DOP_FCT;SR_0420411_dop_inf,SR_0420411_dop_inf_2
DTL$RNCO_NSO_PURCB_0420411_SPOD_0_FCT;SR_0420411_SPOD,SR_0420411_SPOD_2
DTL$RNCO_NSO_PURCB_0420411_SPOD_DOP_FCT;SR_0420411_SPOD_dop_inf,SR_0420411_SPOD_dop_inf_2
DTL$RNCO_NSO_PURCB_0420411_SPOD_T5_FCT;SR_0420411_SPOD_1,SR_0420411_SPOD_2
DTL$RNCO_NSO_PURCB_0420411_T5_FCT;SR_0420411_1,SR_0420411_2
DTL$RNCO_NSO_PURCB_0420411_ZAPR_T5_FCT;SR_0420411_zapr_1,SR_0420411_zapr_2
DTL$RNCO_NSO_PURCB_0420412_1_1_TB3_FCT;SR_0420412_R1_a_1,SR_0420412_R1_a_2
DTL$RNCO_NSO_PURCB_0420412_1_2_TB3_FCT;SR_0420412_R1_b_1,SR_0420412_R1_b_2
DTL$RNCO_NSO_PURCB_0420412_1_FCT;SR_0420412_R1,SR_0420412_R1_1
DTL$RNCO_NSO_PURCB_0420412_2_FCT;SR_0420412_R2,SR_0420412_R2_1
DTL$RNCO_NSO_PURCB_0420412_2_TB3_FCT;SR_0420412_R2
DTL$RNCO_NSO_PURCB_0420412_3_FCT;SR_0420412_R3
DTL$RNCO_NSO_PURCB_0420413_1_FCT;SR_0420413_r1
DTL$RNCO_NSO_PURCB_0420413_2_FCT;SR_0420413_r2,SR_0420413_r2_1,SR_0420413_r2_2
DTL$RNCO_NSO_PURCB_0420413_3_FCT;SR_0420413_r3_1
DTL$RNCO_NSO_PURCB_0420413_3_TB4_FCT;SR_0420413_r3,SR_0420413_r3_1,SR_0420413_r3_2
DTL$RNCO_NSO_PURCB_0420414_1_FCT;SR_0420414_R1_1,SR_0420414_R1_2
DTL$RNCO_NSO_PURCB_0420414_2_FCT;SR_0420414_R2_1,SR_0420414_R2_2
DTL$RNCO_NSO_PURCB_0420414_3_TB4_FCT;SR_0420414_R3_1,SR_0420414_R3_2
DTL$RNCO_NSO_PURCB_0420415_1_1_1_FCT;SR_0420415_R1_PR1_1,SR_0420415_R1_PR1_1_2
DTL$RNCO_NSO_PURCB_0420415_1_1_2_1_FCT;SR_0420415_R1_PR1_2_1
DTL$RNCO_NSO_PURCB_0420415_1_1_2_FCT;SR_0420415_R1_PR_1_2,SR_0420415_R1_PR_1_2_2
