"role_definition","role_table"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_OtherNfo_0420910_open_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_PURCB","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_PURCB"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_PURCB","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_PURCB_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_PURCB_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_PURCB_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_PURCB_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/1_FR_BS_PURCB_open_retrospective"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_39_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_39_LastQuarter_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_INS_open_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_39_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_39_LastQuarter_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_JTINS_open_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_39_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_39_open_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_NPF_AO_open_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_OtherNfo_0420902","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_OtherNfo_0420902"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_OtherNfo_0420902_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_OtherNfo_0420902_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_OtherNfo_0420912","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_OtherNfo_0420912"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_OtherNfo_0420912_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_OtherNfo_0420912_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_PURCB","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_PURCB"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_PURCB","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_PURCB_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_PURCB_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_PURCB_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_PURCB_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/2_FR_PL_PURCB_open_LastQuarter"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS_39_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_INS_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS_39_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_JTINS_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO_39_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_NPF_AO_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420903","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420903"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420903_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420903_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420903_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420903_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420913","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420913"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420913_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420913_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420913_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_OtherNfo_0420913_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_PURCB","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_PURCB"
