"rinok";"role_definition";"role_table"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrAktivov";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrAktivov"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrDogovorov";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrDogovorov"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrInfl";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrInfl"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrInvStrat";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrInvStrat"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrKontragentov";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrKontragentov"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrModelRashod";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrModelRashod"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrOsuschPotokov";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrOsuschPotokov"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrPIF";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrPIF"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrPravilStrah";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrPravilStrah"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrScenar";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrScenar"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrStrahVypl";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrStrahVypl"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrTablVerRisk";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrTablVerRisk"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrVykupSumm";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrVykupSumm"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrZaplPotokov";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrZaplPotokov"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrZastrahovanPoDogStrah";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrZastrahovanPoDogStrah"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrZNU";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_ReestrZNU"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_Sved_ObOtchOrg";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_Sved_ObOtchOrg"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_Sved_ObOtchOrg_Nulevye_Otchety";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_Sved_ObOtchOrg_Nulevye_Otchety"
"ins";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_Sved_ObOtchOrg_OtvLicza";"http://www.cbr.ru/xbrl/nso/ins/rep/2025-04-15/tab/sr_Sved_ObOtchOrg_OtvLicza"
