"rinok";"role_definition";"role_table"
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420757/1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420757/1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420758;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420758
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420759;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420759
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420760_bki_zayavl;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420760_bki_zayavl
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420760_kbki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420760_kbki
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420761_hc_1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420761_hc_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420761_hc_2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420761_hc_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420761_spod_1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420761_spod_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420761_spod_2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420761_spod_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420762;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420762
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420763_1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420763_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420763_2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420763_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420763_spod_1;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420763_spod_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420763_spod_2;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_0420763_spod_1
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_sved_bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_sved_bki
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_sved_bki_dolzh_licz_otv_za_predm_obl_otch;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_sved_bki_dolzh_licz_otv_za_predm_obl_otch
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_sved_bki_liczo_podpis_otch;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_sved_bki_liczo_podpis_otch
bki;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_sved_bki_otsutstvie_dannyx;http://www.cbr.ru/xbrl/nso/bki/rep/2024-12-30/tab/sr_sved_bki_otsutstvie_dannyx
bki;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_6;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_6
bki;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_soprovod;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_soprovod
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r1;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r1
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r1_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r1
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2_3;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r2
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3_2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3_itog;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r3_itog
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r4;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_1/sr_nfo_1_r4
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r1;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r1
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r2;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r2
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r2_1;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r2
npf;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r3;http://www.cbr.ru/xbrl/nso/nfo/rep/2024-12-30/tab/sr_nfo_2/sr_nfo_2_r3
