"rinok";"role_definition";"role_table"
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420861_1_4;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420861_1_4
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420861_1_5;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420861_1_5
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r1_1;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r1_1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r1_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r1_2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r1_3;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r1_3
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r2_1;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r2_1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r2_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r2_1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r2_3;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420862_r2_1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r1;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r1_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r1_2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r2_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r2_2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_1;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_1_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_1_3;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_1_4;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_1_4
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_3;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_3
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_3_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_3
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_4;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_4
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_4_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_4
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_5;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_5
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_5_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r3_5
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r4_1;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r4_1
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r4_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r4_2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r4_3;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r4_3
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r5;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420863_r5
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_2A;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_2A
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_3;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_3
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_3A;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_3A
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_4;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_4
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_4A;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzB_4A
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzBA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_CzBA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_2A;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_2A
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_3;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_3
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_3A;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_3A
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_Depozity;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_Depozity
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_DepozityA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_DepozityA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_DepozSert;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_DepozSert
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_DepozSertA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DS_DepozSertA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DSA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_DSA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_NedvIm;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_NedvIm
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_NedvImA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_NedvImA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_PFI;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_PFI
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_PFIA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_PFIA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZ_SSPeredPR;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZ_SSPeredPR
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZNKD;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZNKD
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZNKDA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZNKDA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZNPD;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZNPD
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZNPDA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZNPDA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProch;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProch
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProch_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProch_2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProchA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProchA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProchA_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProchA_2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProchREPO;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProchREPO
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProchREPOA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_DZProchREPOA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_p2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_p2
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_p2A;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_p2A
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_ProchAkt;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_ProchAkt
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_ProchAktA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_R_ProchAktA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZ_REPO;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZ_REPO
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZ_REPOA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZ_REPOA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZ_Zaim;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZ_Zaim
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZ_ZaimA;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZ_ZaimA
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZProch;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZProch
srki;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZProch_2;http://www.cbr.ru/xbrl/nso/srki/rep/2024-12-30/tab/sr_0420864_r1_S_KZProch_2
